,Average Fitness
0,316.28582509460995
1,315.62585775122864
2,313.42561998501026
3,310.82772618793746
4,309.1225984694283
5,309.4791157077305
6,309.34656143858416
7,308.3841451042157
8,306.0644346555627
9,305.169996507526
10,303.1371127029078
11,301.7234849130138
12,299.0789134767473
13,297.2561089976875
14,295.77343429427026
15,294.95460819890934
16,294.3174143876491
17,292.88292872270125
18,291.9274276744455
19,290.5097836963069
20,289.1780430600947
21,288.1129295379091
22,286.34136002304245
23,283.7176659347668
24,282.3117848148905
25,280.7937448147421
26,279.4122688399925
27,278.21439570598903
28,275.5738664995701
29,273.4637536551121
30,273.04596882742817
31,271.22421725218175
32,270.57654063257536
33,269.53952991546714
34,268.63137308353936
35,267.5100558335139
36,265.857792355487
37,265.2128081956922
38,264.1322672642872
39,263.1958733021943
40,261.8155063643234
41,260.56528533569883
42,259.6765288102842
43,258.5339789029153
44,256.9341628771552
45,255.61484203609086
46,255.01688212192855
47,253.79024515774086
48,252.40279085011412
49,250.91977222892004
50,249.7382916004935
51,248.75370488001053
52,248.21345971912214
53,246.87868376035257
54,246.2163045351029
55,245.17335492060022
56,244.3991967652308
57,243.2211636458026
58,242.51848291219179
59,241.50004817419475
60,241.1140041619293
61,239.84402723383013
62,239.00534350107336
63,238.5763780979304
64,237.87963241981095
65,237.21572333365984
66,236.76523741301796
67,236.1013519756582
68,235.55005940092363
69,234.64533437407968
70,233.55630658123405
71,232.93522190420575
72,232.16333398862312
73,231.51973918229928
74,231.1118403683302
75,230.26677327271943
76,229.881139175086
77,229.2782334451787
78,228.84834032031185
79,228.38958664255114
80,227.97101642806254
81,227.64056978235803
82,227.53558332783012
83,227.23754347585253
84,226.79518595407342
85,226.6048601669769
86,226.32277996159073
87,226.12429097683184
88,225.72246981907318
89,225.38597280203382
90,225.1120502904658
91,224.80435091498583
92,224.63457713352665
93,224.40349116482128
94,224.23941200869004
95,224.14179869627708
96,224.00694691953348
97,223.88024539365685
98,223.7362276106355
99,223.584218376354
100,223.46052356485362
101,223.3208611042337
102,223.21199914418895
103,223.15807456479715
104,223.04117013584346
105,222.96426583224053
106,222.85112191203396
107,222.72037054276512
108,222.61655022926269
109,222.50428326426106
110,222.3810856676077
111,222.3162553479495
112,222.2959100398228
113,222.21986347395043
114,222.11642039942805
115,222.0406684514793
116,221.9502367629132
117,221.79215473028594
118,221.6268628438303
119,221.47617323108938
120,221.34083840799468
121,221.2428460181678
122,221.0606265556185
123,220.96624857808055
124,220.84780973778666
125,220.78520389880302
126,220.73009609781704
127,220.70213838179808
128,220.66915677375272
129,220.64385375027527
130,220.63046877467278
131,220.59075546705256
132,220.54617980217495
133,220.52525330082972
134,220.47490252818864
135,220.42157347923825
136,220.37918696192602
137,220.34941591333924
138,220.30184592375798
139,220.2495662518365
140,220.15148921160437
141,220.0919135477963
142,219.91595074927577
143,219.848553937342
144,219.79848752018196
145,219.74187953824764
146,219.6867848038499
147,219.60128138489944
148,219.52043555944746
149,219.3999688882655
150,219.2659433215111
151,219.1330199827098
152,218.96834264103666
153,218.85315841793124
154,218.78179252989742
155,218.77194062087943
156,218.70957055044673
157,218.69662278448712
158,218.6373787435305
159,218.59759018572925
160,218.5382004859873
161,218.52521797701627
162,218.45795284600098
163,218.4179928650627
164,218.3145923194574
165,218.23061553954562
166,218.1935964088834
167,218.14429591662775
168,218.03419158246848
169,217.94332754904738
170,217.8466123724226
171,217.7339911176064
172,217.63948217301964
173,217.58065824346338
174,217.5032494657395
175,217.4563525861829
176,217.4604861272179
177,217.38601672069538
178,217.3420524427793
179,217.25368000394917
180,217.19870352252747
181,217.1134590202645
182,217.01292491201247
183,216.8808570010122
184,216.80731982200973
185,216.75758446870546
186,216.68843221481154
187,216.59707840668497
188,216.52932018517131
189,216.46270991918064
190,216.38941454638018
191,216.32595840339545
192,216.25661187740909
193,216.18121626929926
194,216.16553394800079
195,216.08323281935725
196,215.98460684540868
197,215.89039838904483
198,215.78643650691905
199,215.75675407827814
200,215.71225733868974
201,215.66743710622606
202,215.6398817151062
203,215.58888485845932
204,215.5476608476133
205,215.45000752434393
206,215.37949359707997
