,Average Fitness
0,-1080.5236939571153
1,-1080.5107699805071
2,-1080.5033918128656
3,-1080.4943664717348
4,-1080.4883138401563
5,-1080.48171539961
6,-1080.4796978557501
7,-1080.4766471734888
8,-1080.4714230019492
9,-1080.4611403508773
10,-1080.4552241715398
11,-1080.4473099415206
12,-1080.4432163742692
13,-1080.4352144249515
14,-1080.4346101364522
15,-1080.433440545809
16,-1080.432553606238
17,-1080.4273099415204
18,-1080.424805068226
19,-1080.4235087719298
20,-1080.41850877193
21,-1080.4169883040936
22,-1080.4177387914228
23,-1080.4173489278753
24,-1080.4093079922027
25,-1080.411656920078
26,-1080.405545808967
27,-1080.403645224172
28,-1080.3979532163744
29,-1080.395838206628
30,-1080.3936549707605
31,-1080.3932943469786
32,-1080.3903996101365
33,-1080.3908382066277
34,-1080.3852923976606
35,-1080.382407407407
36,-1080.3799415204676
37,-1080.3812768031185
38,-1080.3796101364521
39,-1080.3753606237815
40,-1080.3731968810912
41,-1080.37074074074
42,-1080.3686939571148
43,-1080.3670077972706
44,-1080.3685867446393
45,-1080.3647173489278
46,-1080.363693957115
47,-1080.361140350877
48,-1080.3694054580897
49,-1080.3600584795322
50,-1080.360087719298
51,-1080.358177387914
52,-1080.3573879142298
53,-1080.355886939571
54,-1080.3557115009744
55,-1080.3553216374269
56,-1080.359902534113
57,-1080.3554873294345
58,-1080.3571247563352
59,-1080.354210526316
60,-1080.35149122807
61,-1080.3507602339187
62,-1080.3496881091617
63,-1080.3522222222223
64,-1080.3486939571148
65,-1080.3479532163744
66,-1080.3471247563352
67,-1080.3503703703705
68,-1080.3497953216372
69,-1080.3460721247563
70,-1080.3469200779725
71,-1080.3481189083823
72,-1080.3450877192981
73,-1080.3516764132553
74,-1080.3475341130606
75,-1080.3433723196881
76,-1080.3503996101365
77,-1080.3427485380116
78,-1080.3495419103313
79,-1080.3473001949317
80,-1080.344044834308
81,-1080.3495029239766
82,-1080.3418226120862
83,-1080.3451559454193
84,-1080.3451461988304
85,-1080.340964912281
86,-1080.3411013645227
87,-1080.344590643275
88,-1080.339805068226
89,-1080.3405945419104
90,-1080.3404288499025
91,-1080.3403021442493
92,-1080.3401267056533
93,-1080.3437134502926
94,-1080.3398635477586
95,-1080.3395126705657
96,-1080.3395224171543
97,-1080.3431189083824
98,-1080.3452729044834
99,-1080.3392690058479
100,-1080.339142300195
