,Average Fitness
0,-1080.5229824561402
1,-1080.516910331384
2,-1080.5144444444447
3,-1080.514688109162
4,-1080.5144834307994
5,-1080.5134990253414
6,-1080.5128752436647
7,-1080.5150292397664
8,-1080.5138304093573
9,-1080.5071637426904
10,-1080.503947368421
11,-1080.505341130604
12,-1080.5011890838207
13,-1080.5015984405456
14,-1080.4949902534113
15,-1080.4991715399606
16,-1080.4920077972713
17,-1080.4933333333333
18,-1080.482670565302
19,-1080.4750877192978
20,-1080.4757894736838
21,-1080.469385964912
22,-1080.4643372319686
23,-1080.4586744639373
24,-1080.465750487329
25,-1080.4592982456138
26,-1080.4562962962962
27,-1080.4556920077969
28,-1080.452894736842
29,-1080.4512085769982
30,-1080.443440545809
31,-1080.445536062378
32,-1080.4415302144248
33,-1080.438245614035
34,-1080.4381968810915
35,-1080.4363937621833
36,-1080.4343567251462
37,-1080.4328654970761
38,-1080.4247173489282
39,-1080.4366569200781
40,-1080.4303313840157
41,-1080.4215984405457
42,-1080.4165107212475
43,-1080.4133333333336
44,-1080.4091228070176
45,-1080.407495126706
46,-1080.4018908382068
47,-1080.3985380116962
48,-1080.3947563352826
49,-1080.3940448343078
50,-1080.3887914230022
51,-1080.3856530214425
52,-1080.3837914230019
53,-1080.3826218323586
54,-1080.378235867446
55,-1080.3791130604288
56,-1080.3732358674458
57,-1080.3754678362573
58,-1080.3705165692002
59,-1080.3728654970757
60,-1080.3700584795317
61,-1080.3639473684207
62,-1080.3599220272902
63,-1080.3579824561402
64,-1080.3671539961013
65,-1080.3613742690059
66,-1080.3646393762183
67,-1080.356315789474
68,-1080.347446393762
69,-1080.3463937621837
70,-1080.3504191033137
71,-1080.3501754385964
72,-1080.3473684210526
73,-1080.3410233918125
74,-1080.3396978557507
75,-1080.3461111111108
76,-1080.3493469785574
77,-1080.3379142300196
78,-1080.3366374269003
79,-1080.333050682261
80,-1080.3330409356727
81,-1080.3349805068228
82,-1080.3463840155946
83,-1080.333011695906
84,-1080.3467738791426
85,-1080.3437426900582
86,-1080.3403703703707
87,-1080.3300292397662
88,-1080.3300682261208
89,-1080.3268323586744
90,-1080.3368226120856
91,-1080.3343957115012
92,-1080.3334015594544
93,-1080.33328460039
94,-1080.3295126705655
95,-1080.332456140351
96,-1080.3227485380119
97,-1080.3218323586748
98,-1080.3206237816764
99,-1080.3283430799222
100,-1080.3316764132555
