,Average Fitness
0,315.9245569221723
1,316.24591075948297
2,314.21408061565455
3,313.458099882805
4,310.3936498102798
5,308.21719456298086
6,309.21239872704774
7,308.10341901347687
8,305.98935358754557
9,305.0432105367857
10,303.0901982310867
11,301.0567832754778
12,300.3064275569474
13,298.8766184068634
14,297.288223423101
15,295.8505260439877
16,294.45824020650923
17,293.3071536493449
18,291.93132156986223
19,289.8175889078126
20,289.78246096074975
21,287.97039088684494
22,285.8087501988107
23,284.2700639843357
24,282.54576338291196
25,281.19237111403675
26,279.1585919081583
27,278.59917443050387
28,278.3888447574544
29,277.19225626395263
30,275.28790783408726
31,273.15054423292145
32,271.98351313260645
33,270.4652864989675
34,269.6339437757604
35,268.5095408911409
36,267.55185988770745
37,266.0409512824156
38,265.0489211629953
39,263.1550913047636
40,261.9404517765695
41,260.6993067331463
42,259.6697356012251
43,257.964875112051
44,256.3757889797594
45,255.4426546149487
46,254.1648843822415
47,252.9366340441828
48,251.97944543683482
49,251.40815992833902
50,250.86343108692512
51,250.01322824987594
52,248.8668097429806
53,247.75513287752878
54,246.6719883025309
55,245.46120066473176
56,244.1112169600652
57,243.48183276407337
58,242.48397230751704
59,241.6204198291139
60,241.03019295799436
61,240.0445909080155
62,239.13212480553923
63,238.3416851917983
64,237.6999753020284
65,236.9567386663088
66,236.1502110270228
67,235.57580013299975
68,235.11988175095172
69,234.44124042304895
70,233.66410114545735
71,233.08834414392425
72,232.75701994163177
73,232.28375983400926
74,231.6830021880212
75,231.32550413622954
76,230.30490076477508
77,229.74292843592454
78,229.37311805530496
79,229.02123673760497
80,228.77078896175217
81,228.41007702351777
82,228.04973725911995
83,227.88420818418803
84,227.46420003104086
85,227.2986859440045
86,226.89336947472336
87,226.61126353922882
88,226.36171842282837
89,226.24137384478138
90,225.8967894915583
91,225.6252917503555
92,225.41233741358204
93,225.28012432498403
94,225.0888292455211
95,224.88795145226086
96,224.70664144139715
97,224.47584058481215
98,224.28645525798595
99,224.0780539191333
100,223.9693110037758
101,223.83262606195706
102,223.67578033447327
103,223.57151696399487
104,223.43142880585452
105,223.19644877815475
106,223.18579061812986
107,223.06650907809464
108,222.95911065620174
109,222.79784493354808
110,222.7765371694923
111,222.67729387643504
112,222.60670670309995
113,222.532101576668
114,222.42510281007353
115,222.33528046129194
116,222.28981944777846
117,222.23989136569122
118,222.17619364341198
119,222.09920606088616
120,221.98032404404702
121,221.9193423542752
122,221.81559055750023
123,221.7628003484978
124,221.70724846052929
125,221.6488192861908
126,221.54024287097084
127,221.4931171843242
128,221.43665037760832
129,221.36843772832438
130,221.30994377756502
131,221.2905308683834
132,221.25100786024595
133,221.19225812022648
134,221.13457842844326
135,221.06170426801506
136,220.99459654027592
137,220.93813940779833
138,220.9212218614869
139,220.88696693583438
140,220.82928752712542
141,220.8043728407253
142,220.64605013113703
143,220.55592458809807
144,220.42512843941861
145,220.25268909578858
146,220.07648317722166
147,219.97811642951018
148,219.9163827616427
149,219.89488799995308
150,219.84987210827197
151,219.79746495451707
152,219.77008952273093
153,219.70420091067143
154,219.6799745911263
155,219.63307991525792
156,219.54280876155462
157,219.54086485484018
158,219.50165017669846
159,219.44876759297068
160,219.40361945320308
161,219.34451826055573
162,219.26887631161756
163,219.23754621994368
164,219.1887921546314
165,219.10753883060806
166,219.04700526741658
167,219.01716074157085
168,218.97149604487691
169,218.93728439338884
170,218.89017441759628
171,218.86384016034756
172,218.82489467243852
173,218.78676209068522
174,218.7741173259537
175,218.73122698066447
176,218.68441733537747
177,218.63395343715183
178,218.57210824934967
179,218.51577787180213
180,218.48963899352418
181,218.4219981198819
182,218.34106912297193
183,218.29245065421503
184,218.23927193470303
185,218.1855136122897
186,218.1671706189371
187,218.115328704491
188,218.070550103948
189,218.0386732279607
190,218.0195157789663
191,217.97389415895944
192,217.9154597746406
193,217.85281141525513
194,217.80261736910597
195,217.7509818875647
196,217.59827429527238
197,217.51361570889475
198,217.43166304954084
199,217.26703969026676
200,217.17170130296236
201,217.0717633525568
202,216.94233539053485
203,216.82508002062139
204,216.70466845740432
205,216.63453968585483
206,216.5984053269506
207,216.54599721579768
208,216.52741229268446
209,216.47054693645288
210,216.40366177947544
211,216.3725946425401
212,216.3049300126905
213,216.17528728965962
214,216.09963924507218
215,216.03507650161245
216,215.96353370799855
217,215.87029846776954
218,215.80200733964259
219,215.71069091159592
220,215.6329917796937
221,215.58490453603594
222,215.5325935521853
223,215.45517455382586
224,215.36557328826774
225,215.2647314843206
226,215.20245699075676
227,215.12533908623536
228,215.03054287013038
229,215.01860589021427
230,214.93717318661652
231,214.91891462295735
232,214.87349514706173
233,214.8340243406544
234,214.80641550179155
235,214.75642494487485
236,214.70769271542613
237,214.6789828646928
238,214.65474046953324
239,214.63064248416904
240,214.55281459574283
241,214.4960556947421
242,214.48757149732268
243,214.44353266995236
244,214.39594356581904
245,214.3742357154984
246,214.29979036014322
247,214.22137403946803
248,214.1670556060005
249,214.1185671410136
250,214.07498470433114
251,214.0598634995269
252,214.00500523341051
253,213.9366217174103
254,213.85641189833524
255,213.7687106391212
256,213.70325035545534
257,213.58704929595623
258,213.5071036611646
259,213.4777788471863
260,213.42871799922884
261,213.36339198623654
262,213.3019153263951
263,213.18650828752322
264,213.11666087913792
265,212.96747404771295
266,212.8122240585565
267,212.7153228877435
268,212.64339232691134
269,212.60076992760906
270,212.51022213266359
271,212.47512768888163
272,212.43905242412762
273,212.40219436268953
274,212.37727382465323
275,212.3431879403128
276,212.32540087534522
277,212.26569901663498
278,212.19700073674866
279,212.10752005969567
280,212.0504866667472
281,211.9804466412004
282,211.88778810614465
283,211.8523722085689
284,211.7781175725648
285,211.72239654895148
286,211.68972046883508
287,211.6609339256073
288,211.6429054791267
289,211.61690131770783
290,211.56579778625292
291,211.49860707557843
292,211.4516423541053
293,211.43066248316416
294,211.3775381023512
295,211.30364561411494
296,211.2690590324469
297,211.22647226844956
298,211.2117077430374
299,211.2001724937817
300,211.15655562075773
301,211.10479146433048
302,211.06153691257043
303,211.02966818801372
304,211.01408219087207
305,210.99163237910565
306,210.94790062898076
307,210.87919095069068
308,210.83802138878028
309,210.8161481553338
310,210.7453633113794
311,210.63110493814796
312,210.5403692824733
313,210.46203793996727
314,210.37587341437003
315,210.30851762295828
316,210.22266282558664
317,210.17883460933666
318,210.15966273773637
319,210.0974915454145
320,210.0618134833051
321,210.0278268001023
322,209.92122503706833
323,209.81010899524733
324,209.6778665112488
325,209.62795865817992
326,209.57801901804254
327,209.53128164712464
328,209.4831548473856
329,209.44382111827184
330,209.41280364663476
331,209.39593442022738
332,209.3573608899651
333,209.28254492151893
334,209.2304903987168
335,209.18231276756302
336,209.14632382245946
337,209.09210871423602
338,209.0591769934528
339,208.99315901052728
340,208.96000959718026
341,208.93551581461156
342,208.88090249093952
343,208.82988502932164
344,208.7757987127352
345,208.716905738592
346,208.6507453259921
347,208.59990254799305
348,208.54300692118093
349,208.50318865282003
350,208.43424673122576
351,208.40923735519334
352,208.3662207434286
