,Average Fitness
0,-5.310721247563353
1,-5.238109161793371
2,-5.199415204678363
3,-5.159941520467837
4,-5.194736842105261
5,-5.137524366471734
6,-5.112962962962962
7,-5.1224171539961
8,-5.0783625730994135
9,-5.03382066276803
10,-5.034307992202729
11,-5.013157894736841
12,-5.019688109161794
13,-5.041715399610136
14,-5.026705653021441
15,-5.023196881091618
16,-4.987816764132553
17,-4.9987329434697845
18,-4.915107212475632
19,-4.830409356725145
20,-4.794152046783625
21,-4.804385964912281
22,-4.778460038986355
23,-4.650877192982456
24,-4.608966861598439
25,-4.564230019493178
26,-4.482748538011697
27,-4.44317738791423
28,-4.469980506822614
29,-4.434307992202728
30,-4.4411306042884995
31,-4.459356725146197
32,-4.3864522417154
33,-4.324951267056529
34,-4.285867446393762
35,-4.2630604288499026
36,-4.252729044834308
37,-4.224463937621832
38,-4.250389863547757
39,-4.26101364522417
40,-4.233820662768031
41,-4.244346978557506
42,-4.222222222222222
43,-4.061793372319687
44,-4.029629629629629
45,-4.007212475633527
46,-3.924074074074074
47,-3.9368421052631577
48,-3.894346978557503
49,-3.8600389863547764
50,-3.805458089668615
51,-3.7481481481481467
52,-3.70877192982456
53,-3.867543859649122
54,-3.8000974658869393
55,-3.659649122807017
56,-3.78849902534113
57,-3.6871345029239753
58,-3.684990253411306
59,-3.560818713450293
60,-3.545906432748538
61,-3.6022417153996087
62,-3.605750487329434
63,-3.639766081871345
64,-3.5053606237816752
65,-3.4835282651072106
66,-3.4681286549707586
67,-3.460038986354775
68,-3.4354775828460027
69,-3.412573099415204
70,-3.560331384015594
71,-3.676120857699806
72,-3.6296296296296293
73,-3.490058479532165
74,-3.529434697855751
75,-3.465107212475634
76,-3.4289473684210514
77,-3.3463937621832374
78,-3.3391812865497084
79,-3.378849902534114
80,-3.4528265107212484
81,-3.4613060428849916
82,-3.3785575048732936
83,-3.2932748538011705
84,-3.4686159844054574
85,-3.375438596491228
86,-3.3219298245614026
87,-3.2575048732943475
88,-3.3318713450292394
89,-3.332846003898636
90,-3.3313840155945416
91,-3.227582846003898
92,-3.2223196881091614
93,-3.2149122807017534
94,-3.2108187134502906
95,-3.2903508771929815
96,-3.3509746588693954
97,-3.422807017543858
98,-3.4551656920077964
99,-3.4525341130604272
100,-3.2837231968810903
