,Average Fitness
0,-1080.52485380117
1,-1080.5156140350875
2,-1080.5042690058476
3,-1080.4902046783623
4,-1080.4806432748533
5,-1080.473040935672
6,-1080.464580896686
7,-1080.458840155945
8,-1080.4527095516567
9,-1080.445438596491
10,-1080.4399220272903
11,-1080.433118908382
12,-1080.4287621832364
13,-1080.4238304093567
14,-1080.41783625731
15,-1080.414532163743
16,-1080.410536062378
17,-1080.4077680311893
18,-1080.4037719298246
19,-1080.3992300194936
20,-1080.3941130604292
21,-1080.3906237816766
22,-1080.3870955165692
23,-1080.3821150097467
24,-1080.3788109161794
25,-1080.374522417154
26,-1080.3706042884987
27,-1080.367222222222
28,-1080.364035087719
29,-1080.3610038986349
30,-1080.3588304093562
31,-1080.3559746588692
32,-1080.3549122807017
33,-1080.3538109161789
34,-1080.3523684210522
35,-1080.350536062378
36,-1080.3490155945417
37,-1080.3473489278751
38,-1080.3455165692008
39,-1080.3434113060425
40,-1080.3415984405456
41,-1080.339990253411
42,-1080.3390643274854
43,-1080.338343079922
44,-1080.3376510721246
45,-1080.3370370370371
46,-1080.3364327485378
47,-1080.335730994152
48,-1080.3350194931775
49,-1080.334142300195
50,-1080.3335380116957
51,-1080.3329434697855
52,-1080.3322612085767
53,-1080.3314717348926
54,-1080.3311890838208
55,-1080.3308479532166
56,-1080.3306432748539
57,-1080.3301169590643
58,-1080.3297270955163
59,-1080.329356725146
60,-1080.328947368421
61,-1080.3286159844056
62,-1080.3284697855752
63,-1080.328245614035
64,-1080.3280409356726
65,-1080.3278849902536
66,-1080.3277485380117
67,-1080.3276023391816
68,-1080.3274853801177
69,-1080.3274853801177
70,-1080.3274951267063
71,-1080.327504873295
72,-1080.3274853801177
73,-1080.3274853801177
74,-1080.3274853801177
75,-1080.3274853801177
76,-1080.3275243664725
77,-1080.3274269005854
78,-1080.3273294346982
79,-1080.3271832358676
80,-1080.3269883040934
81,-1080.3268421052633
82,-1080.326666666667
83,-1080.326578947369
84,-1080.3265009746592
85,-1080.326452241716
86,-1080.3264035087723
87,-1080.3263645224174
88,-1080.3262962962965
89,-1080.326169590643
90,-1080.3260916179331
91,-1080.326033138401
92,-1080.3260233918122
93,-1080.3260233918122
94,-1080.3260233918124
95,-1080.3259844054576
96,-1080.3259161793367
97,-1080.3258382066276
98,-1080.3256822612088
99,-1080.3255750487335
100,-1080.3255458089675
