,Average Fitness
0,-1080.5236939571153
1,-1080.5107699805071
2,-1080.5033918128656
3,-1080.4943664717348
4,-1080.4883138401563
5,-1080.48171539961
6,-1080.4796978557501
7,-1080.4766471734888
8,-1080.4714230019492
9,-1080.4611403508773
10,-1080.4552241715398
11,-1080.4473099415206
12,-1080.4432163742692
13,-1080.4352144249515
14,-1080.4346101364522
15,-1080.433440545809
16,-1080.432553606238
17,-1080.4273099415204
18,-1080.424805068226
19,-1080.4235087719298
20,-1080.41850877193
21,-1080.4169883040936
22,-1080.4177387914228
23,-1080.4173489278753
24,-1080.4093079922027
25,-1080.411656920078
26,-1080.405545808967
27,-1080.403645224172
28,-1080.3979532163744
29,-1080.395838206628
30,-1080.3936549707605
31,-1080.3932943469786
32,-1080.3903996101365
33,-1080.3908382066277
34,-1080.3852923976606
