,Average Fitness
0,-1080.5249999999999
1,-1080.511530214425
2,-1080.50418128655
3,-1080.4948635477579
4,-1080.489269005848
5,-1080.4809844054578
6,-1080.4809941520468
7,-1080.4821150097462
8,-1080.4763840155945
9,-1080.4650877192976
10,-1080.4619688109158
11,-1080.4598343079924
12,-1080.455341130604
13,-1080.4499220272905
14,-1080.4453703703705
15,-1080.4454873294346
16,-1080.4397270955167
17,-1080.4294834307993
18,-1080.4239376218325
19,-1080.4194054580903
20,-1080.41649122807
21,-1080.4120370370372
22,-1080.4094834307994
23,-1080.407202729045
24,-1080.4056822612085
25,-1080.40306042885
26,-1080.3999122807022
27,-1080.4007309941521
28,-1080.393421052632
29,-1080.3915984405457
30,-1080.3872222222221
31,-1080.3860623781675
32,-1080.3783918128654
33,-1080.384961013645
34,-1080.3831286549707
35,-1080.3823976608185
36,-1080.370721247563
37,-1080.3715302144246
38,-1080.36455165692
39,-1080.3638888888886
40,-1080.364610136452
41,-1080.3592105263158
42,-1080.3626998050681
43,-1080.3585867446393
44,-1080.357027290448
45,-1080.3609454191035
46,-1080.3546491228067
47,-1080.3548343079924
48,-1080.3486744639374
49,-1080.3529922027292
50,-1080.3488596491231
51,-1080.3435380116957
52,-1080.3442884990252
53,-1080.3392787524365
54,-1080.3351461988304
55,-1080.3424756335282
56,-1080.3320955165696
57,-1080.3339473684211
58,-1080.332446393762
59,-1080.3270857699806
60,-1080.3259064327485
61,-1080.3308479532163
62,-1080.3312670565301
63,-1080.326315789474
64,-1080.3261598440547
65,-1080.322134502924
66,-1080.3228752436648
67,-1080.3253703703706
68,-1080.3191325536066
69,-1080.3234307992204
70,-1080.321998050682
71,-1080.3184502923978
72,-1080.3168421052633
73,-1080.3248538011694
74,-1080.325029239766
75,-1080.3193567251465
76,-1080.3215984405458
77,-1080.3179824561403
78,-1080.3253996101366
79,-1080.315194931774
80,-1080.3213547758285
81,-1080.3176510721244
82,-1080.3168323586742
83,-1080.3145224171535
84,-1080.3140155945414
85,-1080.3153508771925
86,-1080.3143859649117
87,-1080.3206725146194
88,-1080.3181189083816
89,-1080.3166569200775
90,-1080.3212475633525
91,-1080.323011695906
92,-1080.31798245614
93,-1080.315779727095
94,-1080.315750487329
95,-1080.321101364522
96,-1080.3214912280698
97,-1080.324512670565
98,-1080.3254873294345
99,-1080.31753411306
100,-1080.319005847953
