,Average Fitness
0,-1080.5291033138406
1,-1080.5146003898635
2,-1080.508050682261
3,-1080.5007115009748
4,-1080.492680311891
5,-1080.48918128655
6,-1080.483235867446
7,-1080.4761111111109
8,-1080.4699610136447
9,-1080.46081871345
10,-1080.457514619883
11,-1080.450692007797
12,-1080.4435087719298
13,-1080.4371442495126
14,-1080.4315107212476
15,-1080.4260623781674
16,-1080.42320662768
17,-1080.4186452241715
18,-1080.4153118908384
19,-1080.4133138401564
20,-1080.4101267056528
21,-1080.4065009746591
22,-1080.4040643274855
23,-1080.4023099415208
24,-1080.3991617933723
25,-1080.3969688109164
26,-1080.394980506823
27,-1080.39306042885
28,-1080.3922904483434
29,-1080.390955165692
30,-1080.3899122807013
31,-1080.3892202729046
32,-1080.388460038986
33,-1080.3873196881088
34,-1080.38604288499
35,-1080.3853703703699
36,-1080.3846491228066
37,-1080.3843372319682
38,-1080.3840740740739
39,-1080.3838109161793
40,-1080.3834697855755
41,-1080.383157894737
42,-1080.3829044834308
43,-1080.382680311891
44,-1080.3823586744643
45,-1080.382144249513
46,-1080.3819883040942
47,-1080.3816861598448
48,-1080.381384015595
49,-1080.3809161793379
50,-1080.380497076024
51,-1080.3801072124757
52,-1080.3798343079923
53,-1080.3796783625733
54,-1080.3796198830407
55,-1080.379590643275
56,-1080.3795516569196
57,-1080.3795516569198
58,-1080.3795321637429
59,-1080.3794444444447
60,-1080.3794249512675
61,-1080.3792982456146
62,-1080.3792202729055
63,-1080.3791520467848
64,-1080.3791228070186
65,-1080.3790935672523
66,-1080.3790545808974
67,-1080.3789376218328
68,-1080.378810916179
69,-1080.378693957114
70,-1080.378654970759
71,-1080.3786354775816
72,-1080.3786354775816
73,-1080.3786159844044
74,-1080.378547758284
75,-1080.3784405458086
76,-1080.3783820662768
77,-1080.3783333333338
78,-1080.3782553606245
79,-1080.3781773879155
80,-1080.3781481481494
81,-1080.3781091617946
82,-1080.3780701754397
83,-1080.3780994152057
84,-1080.3780506822625
85,-1080.3780116959076
86,-1080.3779532163755
87,-1080.3777680311903
88,-1080.3774658869404
89,-1080.3771345029245
90,-1080.3769688109162
91,-1080.3768713450288
92,-1080.3767641325528
93,-1080.3767056530203
94,-1080.3767056530203
95,-1080.3767056530203
96,-1080.3766764132542
97,-1080.3766666666656
98,-1080.3766179337222
99,-1080.3764814814806
100,-1080.3763255360623
