,Average Fitness
0,-1080.52806042885
1,-1080.5142495126706
2,-1080.5053508771928
3,-1080.499805068226
4,-1080.4958187134503
5,-1080.4896491228067
6,-1080.486842105263
7,-1080.482407407407
8,-1080.477270955165
9,-1080.4729142300193
10,-1080.4685769980504
11,-1080.4639571150096
12,-1080.4585769980504
13,-1080.4574463937622
14,-1080.451364522417
15,-1080.446881091618
16,-1080.4440253411308
17,-1080.4409161793371
18,-1080.4412475633526
19,-1080.438918128655
20,-1080.4391715399609
21,-1080.4346978557505
22,-1080.4314717348925
23,-1080.4351851851854
24,-1080.4373001949316
25,-1080.4295808966863
26,-1080.430516569201
27,-1080.429307992203
28,-1080.4294834307993
29,-1080.4286939571152
30,-1080.424307992203
31,-1080.4250584795325
32,-1080.4269493177387
33,-1080.4255653021444
34,-1080.4226413255365
35,-1080.4207212475637
36,-1080.4219103313842
37,-1080.423391812866
38,-1080.4226608187137
39,-1080.419220272905
40,-1080.4212768031193
41,-1080.4203703703706
42,-1080.4193859649126
43,-1080.4165692007803
44,-1080.4162962962969
45,-1080.4183430799226
46,-1080.419766081872
47,-1080.4151559454194
48,-1080.4153313840156
49,-1080.4175536062376
50,-1080.4181676413252
51,-1080.4192495126701
52,-1080.4151267056527
53,-1080.4149610136446
54,-1080.4150194931767
55,-1080.4128947368415
56,-1080.415009746588
57,-1080.415009746588
58,-1080.415009746588
59,-1080.4201559454186
60,-1080.4179337231965
61,-1080.4199805068222
62,-1080.4196491228065
63,-1080.4149317738786
64,-1080.414766081871
65,-1080.4146003898632
66,-1080.4164912280696
67,-1080.4176803118908
68,-1080.4202631578949
69,-1080.4125146198835
70,-1080.4142982456144
71,-1080.4115107212483
72,-1080.416364522418
73,-1080.4088304093575
74,-1080.411111111112
75,-1080.4137037037044
76,-1080.4122709551666
77,-1080.4128654970768
78,-1080.4094444444452
79,-1080.408976608188
80,-1080.4084795321646
81,-1080.4078362573107
82,-1080.4076608187142
83,-1080.4073684210537
84,-1080.4073099415216
85,-1080.4073099415216
86,-1080.410350877194
87,-1080.40754385965
88,-1080.4073099415216
89,-1080.4102534113072
90,-1080.4073099415216
91,-1080.4073099415216
92,-1080.4073099415216
93,-1080.4073099415216
94,-1080.4102339181297
95,-1080.4102339181297
96,-1080.4073099415216
97,-1080.4073099415216
98,-1080.4101949317749
99,-1080.4158771929835
100,-1080.4153411306052
