,Average Fitness
0,-1080.5207504873295
1,-1080.508693957115
2,-1080.5003801169594
3,-1080.4889961013644
4,-1080.4848440545807
5,-1080.4787426900582
6,-1080.4716471734891
7,-1080.4662475633527
8,-1080.460350877193
9,-1080.454385964912
10,-1080.4497270955167
11,-1080.4460916179337
12,-1080.4438693957113
13,-1080.4440253411306
14,-1080.4405653021445
15,-1080.439044834308
16,-1080.4348927875242
17,-1080.4350194931772
18,-1080.4326998050683
19,-1080.4340643274852
20,-1080.4332066276804
21,-1080.430536062378
22,-1080.4289668615982
23,-1080.42693957115
24,-1080.424395711501
25,-1080.421286549708
26,-1080.4183235867447
27,-1080.4201754385967
28,-1080.4211208576996
29,-1080.421208576998
30,-1080.4202729044832
31,-1080.4150194931772
32,-1080.4174853801171
33,-1080.4138986354776
34,-1080.4157017543862
35,-1080.4156140350879
36,-1080.4110038986357
37,-1080.409951267057
38,-1080.4085282651074
39,-1080.4106627680312
40,-1080.4119980506825
41,-1080.4055847953218
42,-1080.4070467836261
43,-1080.4049610136456
44,-1080.4038499025346
45,-1080.4065399610142
46,-1080.4072612085774
47,-1080.4104775828464
48,-1080.4096393762186
49,-1080.4131384015598
50,-1080.4069200779732
51,-1080.403898635478
52,-1080.4061988304102
53,-1080.4022027290455
54,-1080.4032553606248
55,-1080.4050584795332
56,-1080.4019005847963
57,-1080.4047660818724
58,-1080.4057504873306
59,-1080.4022417154006
60,-1080.40217348928
61,-1080.4047855750498
62,-1080.402417153997
63,-1080.4049902534125
64,-1080.4034892787533
65,-1080.4036549707612
66,-1080.4020955165702
67,-1080.4053118908391
68,-1080.4052046783634
69,-1080.403021442496
70,-1080.40231968811
71,-1080.402456140352
72,-1080.4015886939583
73,-1080.4024366471745
74,-1080.4058479532175
75,-1080.4090058479542
76,-1080.4083333333342
77,-1080.4020565302155
78,-1080.401881091619
79,-1080.4021052631588
80,-1080.4026705653032
81,-1080.406150097467
82,-1080.4029532163754
83,-1080.402894736843
84,-1080.410925925927
85,-1080.4100194931782
86,-1080.4072319688116
87,-1080.404990253412
88,-1080.4081676413264
89,-1080.4061208577007
90,-1080.4001267056537
91,-1080.4004191033146
92,-1080.4019493177389
93,-1080.401189083821
94,-1080.4000389863547
95,-1080.4034795321636
96,-1080.398538011696
97,-1080.4009356725146
98,-1080.3994541910333
99,-1080.4039766081871
100,-1080.3999220272913
