,Average Fitness
0,-1080.521072124756
1,-1080.5184113060432
2,-1080.5142787524371
3,-1080.5115594541912
4,-1080.5065789473686
5,-1080.5069590643275
6,-1080.5045711500975
7,-1080.4945029239768
8,-1080.4853801169588
9,-1080.4880994152043
10,-1080.4845808966854
11,-1080.483713450292
12,-1080.4795419103311
13,-1080.4777582846
14,-1080.4763450292396
15,-1080.4692202729043
16,-1080.4666764132553
17,-1080.4609746588692
18,-1080.4568226120857
19,-1080.4561598440546
20,-1080.4552046783624
21,-1080.4454385964912
22,-1080.4385769980506
23,-1080.4350487329436
24,-1080.4349220272904
25,-1080.4310136452243
26,-1080.4282553606238
27,-1080.4241228070175
28,-1080.4177290448342
29,-1080.413118908382
30,-1080.405662768031
31,-1080.40216374269
32,-1080.3964814814817
33,-1080.3896393762184
34,-1080.3879824561404
35,-1080.3835087719294
36,-1080.3804483430804
37,-1080.37738791423
38,-1080.3720760233914
39,-1080.3720272904484
40,-1080.3669103313837
41,-1080.362914230019
42,-1080.3583528265108
43,-1080.3555847953214
44,-1080.3515009746586
45,-1080.3469980506823
46,-1080.3435867446392
47,-1080.3391812865498
48,-1080.3364035087718
49,-1080.3323879142301
50,-1080.3310331384016
51,-1080.3285185185186
52,-1080.3268323586744
53,-1080.324463937622
54,-1080.322222222222
55,-1080.3184307992199
56,-1080.3145419103314
57,-1080.3122514619886
58,-1080.3088791423002
59,-1080.3066471734894
60,-1080.3037621832364
61,-1080.3020662768033
62,-1080.299074074074
63,-1080.2966861598443
64,-1080.2949512670568
65,-1080.2920565302147
66,-1080.2903801169598
67,-1080.288976608187
68,-1080.2869005847958
69,-1080.2851559454193
70,-1080.2843372319694
71,-1080.282748538012
72,-1080.281062378168
73,-1080.2799317738798
74,-1080.278898635478
75,-1080.2780116959068
76,-1080.27656920078
77,-1080.275399610137
78,-1080.2742007797276
79,-1080.2732846003903
80,-1080.2724074074076
81,-1080.2715692007803
82,-1080.2712183235872
83,-1080.2707602339187
84,-1080.2697368421059
85,-1080.2689571150104
86,-1080.2685185185187
87,-1080.2679629629636
88,-1080.2673196881096
89,-1080.2668518518524
90,-1080.2662475633535
91,-1080.265653021443
92,-1080.265272904484
93,-1080.264766081872
94,-1080.26425925926
95,-1080.2639863547763
96,-1080.2638109161796
97,-1080.2636744639376
98,-1080.2636452241716
99,-1080.263596491228
100,-1080.2635964912283
