,Average Fitness
0,-1080.5275438596495
1,-1080.5183820662771
2,-1080.5132163742692
3,-1080.5162475633529
4,-1080.5130214424953
5,-1080.509385964912
6,-1080.5132846003899
7,-1080.5099317738789
8,-1080.5099122807017
9,-1080.5065692007797
10,-1080.498966861598
11,-1080.4969785575045
12,-1080.4916471734891
13,-1080.4834502923973
14,-1080.4755653021439
15,-1080.4756335282648
16,-1080.4740935672512
17,-1080.4772417153993
18,-1080.4638109161795
19,-1080.4572514619883
20,-1080.4538791423001
21,-1080.4520857699806
22,-1080.4589961013646
23,-1080.4537621832358
24,-1080.4414132553607
25,-1080.4405945419105
26,-1080.438411306043
27,-1080.4252923976608
28,-1080.4201072124758
29,-1080.4284113060428
30,-1080.4166081871344
31,-1080.4215009746592
32,-1080.4100389863552
33,-1080.4199902534115
34,-1080.413888888889
35,-1080.4119200779728
36,-1080.4100389863552
37,-1080.3997076023393
38,-1080.3938986354776
39,-1080.3899025341127
40,-1080.4001851851854
41,-1080.3918908382066
42,-1080.3801754385959
43,-1080.3757602339178
44,-1080.383538011696
45,-1080.3719493177384
46,-1080.3753313840157
47,-1080.3815399610132
48,-1080.371978557505
49,-1080.3625730994152
50,-1080.3607407407408
51,-1080.3589961013647
52,-1080.3564230019492
53,-1080.3537134502922
54,-1080.3525633528263
55,-1080.351081871345
56,-1080.349161793372
57,-1080.3556140350877
58,-1080.3454288499024
59,-1080.3509941520467
60,-1080.3485575048733
61,-1080.3413450292394
62,-1080.350925925926
63,-1080.3422417153997
64,-1080.3432846003898
65,-1080.3350877192981
66,-1080.3332066276807
67,-1080.3313840155947
68,-1080.3310038986351
69,-1080.3296003898636
70,-1080.3284600389863
71,-1080.3273001949317
72,-1080.3360916179338
73,-1080.324522417154
74,-1080.3328362573102
75,-1080.331822612086
76,-1080.3409454191037
77,-1080.3268615984407
78,-1080.3197563352828
79,-1080.329785575049
80,-1080.3444736842107
81,-1080.323908382066
82,-1080.320292397661
83,-1080.3158576998053
84,-1080.3244152046784
85,-1080.3275243664718
86,-1080.3226608187135
87,-1080.326257309942
88,-1080.3338109161798
89,-1080.3225243664717
90,-1080.3309259259263
91,-1080.3280506822614
92,-1080.3379824561407
93,-1080.3387134502927
94,-1080.3283723196885
95,-1080.3124561403515
96,-1080.31895711501
97,-1080.3246003898637
98,-1080.31895711501
99,-1080.3099317738795
100,-1080.3196101364524
