,Average Fitness
0,-817.7348988295656
1,-792.7975037308373
2,-774.6506028539363
3,-758.0400567580567
4,-742.3780795254128
5,-733.8670171556837
6,-717.6179817219818
7,-701.3787756934423
8,-686.2057206990543
9,-672.9939037999039
10,-656.338099406766
11,-641.411368286035
12,-627.8204870931542
13,-601.8061452621455
14,-591.0346974506978
15,-579.8793227513227
16,-573.1250953984289
17,-558.4809979156646
18,-543.1258868045535
19,-539.701138367805
20,-526.6550242103575
21,-516.9626288279621
22,-502.9839974346642
23,-491.2596594516594
24,-482.59337213403865
25,-477.59346961680285
26,-463.18656277056283
27,-457.8300112233448
28,-449.9768702902036
29,-446.1132708032707
30,-439.0821895141896
31,-430.31175821709155
32,-419.45109219175873
33,-410.5177655924323
34,-403.33761391694713
35,-395.27849703383043
36,-388.10245823312493
37,-379.15625396825385
38,-374.9328991502324
39,-370.06335578002245
40,-358.9015135481802
41,-352.4718499278499
42,-346.0101725188391
43,-341.0809745069744
44,-332.0290405643738
45,-326.55122238255564
46,-321.3221898348564
47,-314.50986179252845
48,-312.18389706589704
49,-308.1536103896103
50,-305.56173224306565
51,-303.91976591309924
52,-302.32057367324035
53,-297.60995959595965
54,-293.33607086740415
55,-286.62534872534866
56,-283.479416386083
57,-282.73303030303026
58,-281.3821378868045
59,-277.85957960557965
60,-275.31420137886795
61,-272.5053362193362
62,-270.3618399871733
63,-268.351037999038
64,-265.4913929773929
65,-264.77237678371
66,-262.8693798300465
67,-260.5905832932499
68,-258.96172999839666
69,-256.3953900913901
70,-254.73467564534224
71,-253.36434760301424
72,-251.27822318422312
73,-249.4453358986692
74,-249.09431585698246
75,-247.85384896584893
76,-245.68090909090907
77,-244.0203520923521
78,-242.91397691197682
79,-241.38567516434182
80,-240.25287253487252
81,-238.84722623055958
82,-237.77993682860347
83,-236.9448286034953
84,-236.11301426968097
85,-234.83219143819142
86,-234.34871604938272
87,-233.37736155202822
88,-232.4127125220458
89,-231.72307583774256
90,-230.1305124258457
91,-228.96221003687657
92,-228.08105659772326
93,-226.5668924162257
94,-225.80410229276902
95,-225.11233509700193
96,-224.78976366843042
97,-224.10623985890652
98,-223.71632451499113
99,-223.00376366843014
100,-222.66639153439138
101,-222.26741093474408
102,-221.51643033509689
103,-221.21464550264542
104,-220.89254320987646
105,-220.68938624338614
106,-220.3443395863395
107,-219.36044797178124
108,-218.3570299823633
109,-217.8725961199294
110,-216.44972134038795
111,-215.49804232804232
112,-213.67611992945322
113,-212.1796296296296
114,-209.96854320987654
115,-208.40168253968247
116,-206.79062081128748
117,-205.8605925925926
118,-204.9786031746031
119,-204.0119435626103
120,-203.14713932980604
121,-202.64385537918864
122,-201.6919047619048
123,-201.30936507936508
124,-200.10012698412703
125,-200.22809523809522
126,-199.10068430335102
127,-197.42906878306877
128,-195.93330158730151
129,-194.68915343915344
130,-193.68228924162256
131,-192.4206349206349
132,-191.74882539682537
133,-190.6940282186948
134,-190.08864902998232
135,-189.1098059964727
136,-188.0129911816578
137,-186.8080423280423
138,-185.62973544973545
139,-184.69948500881827
140,-183.94459259259253
141,-182.94665961199289
142,-181.99495238095236
143,-181.49902998236328
144,-181.0071252204586
145,-180.55032804232798
146,-179.61174955908288
147,-178.98020105820103
148,-178.33523809523803
149,-177.7356790123456
150,-177.3063350970018
151,-176.66237037037033
152,-175.98411992945327
153,-175.37632804232808
154,-174.8481622574956
155,-173.95596472663144
156,-173.5266208112875
157,-173.12209171075835
158,-172.8593862433863
159,-172.29673015873024
160,-171.98611287477954
161,-171.45621869488537
162,-171.07709347442676
163,-170.36415873015875
164,-170.13387654320985
165,-169.27979894179896
166,-168.3556895943562
167,-167.22901587301584
168,-167.25857142857137
169,-167.00813756613752
170,-166.257897707231
171,-166.0373192239858
172,-164.87766490299816
173,-163.82650440917098
174,-162.90884303350956
175,-162.3490476190475
176,-162.00052910052898
177,-161.4759858906525
178,-160.99744973544978
179,-160.83396119929458
180,-160.34075132275134
181,-159.87665255731923
182,-159.15183774250437
183,-158.81164021164014
184,-158.2459118165784
185,-157.58502292768955
186,-156.1867019400352
187,-155.99040564373888
188,-153.90073368606693
189,-153.00143209876532
190,-152.50502292768945
191,-152.37445502645488
192,-152.15855379188696
193,-152.0468747795413
194,-151.76335097001748
195,-151.95897001763652
196,-150.89383774250427
197,-150.31094885361543
198,-149.82542151675477
199,-148.8494074074073
200,-147.77499470899463
201,-146.7116472663139
202,-146.03271604938266
203,-145.20209171075828
204,-144.9339929453262
205,-144.85786243386235
206,-144.74207407407394
207,-144.42577425044087
208,-144.01810229276896
209,-143.53101940035268
210,-142.9217954144621
211,-142.31870899470897
212,-142.35990123456784
213,-141.91385890652552
214,-141.45268783068775
215,-140.5788536155202
216,-139.51216931216925
217,-138.96768606701937
218,-137.84100176366846
219,-137.225291005291
220,-136.91467019400358
221,-136.3318589065256
222,-135.99134038800713
223,-135.56813403880068
224,-135.09899823633157
225,-134.3535308641975
226,-133.18380246913577
227,-132.413569664903
228,-132.17846208112877
229,-131.46387654320986
230,-129.88813756613754
231,-128.73445502645504
232,-126.96224338624341
233,-126.08741798941797
234,-124.85368606701937
235,-122.06121693121689
236,-120.91980952380955
237,-120.60330511463846
238,-119.91289947089949
239,-119.57258553791888
240,-118.94141093474427
241,-118.4226419753086
242,-117.88182010582008
243,-116.84504761904758
244,-116.06279012345684
245,-115.29617989417987
246,-114.24269135802464
247,-113.9283492063492
248,-113.30576014109347
249,-112.7432028218695
250,-111.92313580246906
251,-111.60666666666663
252,-111.43755555555552
253,-110.91249382716049
254,-110.15162962962962
255,-109.14696296296299
256,-108.76214814814817
257,-108.20513580246914
258,-107.99707936507936
259,-106.9868148148148
260,-106.4225925925926
261,-106.06681481481479
262,-105.85824691358025
263,-105.63785185185188
264,-105.32037037037037
265,-104.593975308642
266,-104.13135802469142
267,-104.29446913580252
268,-103.77074074074075
269,-102.6087654320988
270,-101.71846913580252
271,-100.84297354497356
272,-99.85099823633158
273,-99.24879365079363
274,-98.44404585537913
275,-97.10314991181659
276,-95.28908641975306
277,-93.92284656084654
278,-92.05846913580243
279,-90.68953439153438
280,-89.38155555555555
281,-88.31003174603174
282,-87.5717142857143
283,-86.72182010582011
284,-86.53174603174604
285,-86.11234920634922
286,-86.11864550264553
287,-85.55049735449735
288,-85.1490617283951
289,-84.15562962962964
290,-83.54174603174606
291,-83.11172839506175
292,-82.80026455026459
293,-82.27651851851856
294,-82.05722751322759
295,-81.4627160493828
296,-81.47088888888898
297,-81.43711111111121
298,-81.44538271604948
299,-81.3780000000001
300,-81.42686419753096
301,-81.33079012345688
302,-81.00493827160497
303,-80.48807407407408
304,-80.45244444444444
305,-79.97138271604935
306,-79.17474074074067
307,-78.14088888888881
308,-77.61740740740737
309,-77.39622222222216
310,-76.82854320987649
311,-76.53735802469131
312,-75.76479012345675
313,-75.1387407407407
314,-74.17301234567898
315,-73.24516498316495
316,-72.83494725028056
317,-72.0927384960718
318,-71.26824915824913
319,-70.23162289562288
320,-68.61873817540483
321,-66.74219753086419
322,-65.51740740740743
323,-64.43227160493831
324,-63.73518518518521
325,-62.759629629629664
326,-62.17911111111116
327,-61.26674074074078
328,-60.377111111111155
329,-59.43530864197533
330,-58.575820105820156
331,-57.78199647266317
332,-57.28182010582012
333,-56.91803527336865
334,-56.12170723104061
335,-55.103160493827176
336,-54.802017636684305
337,-53.58315343915342
338,-52.6575847362514
339,-51.49466666666668
340,-50.70212345679014
341,-49.955481481481456
342,-49.553679012345675
343,-48.75742504409172
344,-48.47770370370372
345,-48.06955555555556
346,-47.805185185185195
347,-47.32311111111112
348,-47.081185185185184
349,-46.467160493827166
350,-46.02787654320989
351,-45.9854003527337
352,-45.93009876543211
353,-45.81306172839508
354,-45.620839506172864
355,-45.79555555555557
356,-45.72222222222224
357,-45.689548500881855
358,-45.740074074074094
359,-45.77454320987656
360,-45.547555555555576
361,-45.58674074074076
362,-45.36325925925929
363,-44.96306172839509
364,-44.97348148148151
365,-44.45592592592596
366,-44.09002469135807
367,-44.02933333333337
368,-44.01654320987658
369,-44.08039506172843
370,-43.981276895943594
371,-43.877925925925965
372,-43.91888888888893
373,-43.88288888888893
374,-43.98206701940039
375,-44.024776014109385
376,-43.93599294532632
377,-43.896666666666704
378,-44.0038518518519
379,-43.80392592592597
380,-43.83123456790128
381,-43.929456790123496
382,-43.79915343915348
383,-43.690338624338644
384,-43.636479717813074
385,-43.11162962962966
386,-42.81145679012347
387,-42.41476543209877
388,-42.08538271604939
389,-41.957333333333345
390,-41.83711111111113
391,-41.2046666666667
392,-40.59180246913584
393,-40.36777777777781
394,-40.2148641975309
395,-40.32814814814819
396,-40.21419753086424
397,-40.05358024691361
398,-40.00415263748601
399,-39.709950617283965
400,-39.474716049382735
401,-39.27703703703704
402,-39.2017037037037
403,-38.74387654320988
404,-38.308962962962966
405,-38.016888888888886
406,-37.413876543209874
407,-37.25874074074074
408,-36.724148148148146
409,-36.187696649029974
410,-35.42085714285714
411,-34.80170370370371
412,-34.35464197530867
413,-34.07879012345681
414,-33.947777777777794
415,-34.04908641975311
416,-34.11446913580249
417,-33.96479012345681
418,-33.72942504409172
419,-33.37219753086421
420,-33.22249382716049
421,-32.82832098765431
422,-32.38372839506171
423,-32.32207407407405
424,-32.28540740740739
425,-32.2384197530864
426,-32.31227160493825
427,-32.23827160493825
428,-32.173573192239836
429,-32.16064197530862
430,-32.09390123456788
431,-31.95019753086418
432,-31.648197530864177
433,-30.90016578483244
434,-30.00743209876542
435,-29.536388007054665
436,-28.768246913580242
437,-28.675333333333324
438,-28.458419753086414
439,-28.215086419753085
440,-28.14306172839506
441,-27.592567901234574
442,-27.42716049382717
443,-26.872469135802486
444,-26.626148148148154
445,-26.779160493827177
446,-26.63834567901236
447,-26.660641975308653
448,-26.38733333333334
449,-26.202271604938286
450,-26.107283950617294
451,-26.13871604938273
452,-25.878864197530874
453,-25.867975308641988
454,-25.72390123456791
455,-25.52958024691359
456,-25.170543209876545
457,-25.07693827160494
458,-25.19676992143659
459,-24.84150617283951
460,-24.973111111111116
461,-25.022864197530865
462,-24.60871604938272
463,-24.410148148148156
464,-24.255901234567908
465,-24.20812345679013
466,-24.10360493827161
467,-24.0405925925926
468,-24.089827160493833
469,-24.139160493827166
470,-24.186419753086426
471,-24.14871604938272
472,-24.030938271604946
473,-24.093160493827167
474,-24.07735097001764
475,-24.14160493827161
476,-24.14871604938272
477,-24.063111111111116
478,-24.08503703703704
479,-24.06318518518519
480,-24.075530864197535
481,-24.03915343915344
482,-24.06303703703704
483,-24.122814814814824
484,-24.113432098765433
485,-23.87866666666667
486,-23.83069135802469
487,-23.82503703703705
488,-23.653950617283964
489,-23.4844938271605
490,-23.39567195767196
491,-23.140000000000015
492,-23.239037037037047
493,-23.492641975308647
494,-23.261481481481482
495,-23.046814814814823
496,-23.154962962962973
497,-23.120666666666676
498,-23.137523809523817
499,-23.16501234567902
500,-23.02664197530865
501,-23.154716049382728
502,-23.03007407407408
503,-22.94293827160494
504,-22.96232098765433
505,-23.07148148148149
506,-23.02708641975309
507,-23.050239858906533
508,-23.11725925925927
509,-23.074098765432108
510,-23.03933333333334
511,-22.940980599647272
512,-22.954412698412707
513,-22.957308641975313
514,-22.95133333333334
515,-22.84785185185186
516,-22.839925925925932
517,-22.614888888888892
518,-22.503555555555565
519,-22.35911111111112
520,-21.95286419753087
521,-21.568469135802474
522,-21.100222222222232
523,-21.06348148148149
524,-21.119827160493838
525,-21.00385185185186
526,-20.97624691358026
527,-20.880395061728404
528,-20.989111111111118
529,-20.892814814814823
530,-20.947925925925933
531,-20.77444444444445
532,-20.37234567901235
533,-19.928419753086416
534,-19.60997530864197
535,-19.018042328042316
536,-18.30974603174602
537,-18.156716049382705
538,-17.935876543209865
539,-17.90909700176366
540,-17.484444444444435
541,-17.483407407407398
542,-17.325629629629617
543,-17.30683950617283
544,-17.296148148148138
545,-17.21814814814814
546,-17.259333333333323
547,-17.23427160493826
548,-17.25679012345678
549,-17.28796119929452
550,-17.268617283950608
551,-17.262814814814806
552,-17.43725925925925
553,-17.31488888888888
554,-17.3392098765432
555,-17.30617283950616
556,-17.262444444444434
557,-17.37022222222221
558,-17.352222222222213
559,-17.294042328042316
560,-17.28162962962962
561,-17.355333333333324
562,-17.541703703703693
563,-17.305728395061717
564,-17.303851851851842
565,-17.296370370370358
566,-17.312222222222214
567,-17.334444444444433
568,-17.27745679012345
569,-17.285202821869476
570,-17.195654320987643
571,-17.027876543209867
572,-17.28962962962962
573,-17.17014814814814
574,-17.073777777777767
575,-16.983012345679
576,-17.357185185185173
577,-16.89651851851851
578,-16.646345679012335
579,-16.315400352733676
580,-15.55267724867724
581,-15.144560846560834
582,-14.578010582010572
583,-13.939248677248667
584,-13.88497354497353
585,-13.910592592592582
586,-13.71192592592591
587,-13.63918518518517
588,-13.670814814814799
589,-13.576320987654306
590,-13.633851851851835
591,-13.711259259259242
592,-13.563350970017618
593,-13.666962962962947
594,-13.65898059964725
595,-13.584172839506154
596,-13.762740740740727
597,-13.68977777777776
598,-13.536814814814797
599,-13.556123456790106
600,-13.555999999999983
601,-13.611555555555537
602,-13.63688888888887
603,-13.444370370370352
604,-13.553382716049367
605,-13.645160493827145
606,-13.598172839506155
607,-13.682444444444426
608,-13.682790123456773
609,-13.63950617283949
610,-13.60935802469134
611,-13.650962962962947
612,-13.708469135802455
613,-13.578074074074056
614,-13.685474426807744
615,-13.6508148148148
616,-13.577481481481463
617,-13.609209876543193
618,-13.534222222222205
619,-13.654924162257478
620,-13.666740740740723
621,-13.67414814814813
622,-13.684740740740727
623,-13.797037037037022
624,-13.574074074074055
625,-13.603499118165766
626,-13.652074074074058
627,-13.670148148148133
628,-13.50429629629628
629,-13.341481481481466
630,-13.33429629629628
631,-13.260074074074065
632,-12.541209876543203
633,-11.812165784832446
634,-11.040345679012345
635,-10.335999999999997
636,-10.006617283950613
637,-9.981333333333328
638,-9.946617283950614
639,-9.84871604938271
640,-9.923604938271602
641,-9.924098765432094
642,-9.924560846560842
643,-9.979901234567897
644,-9.870148148148143
645,-9.851851851851848
646,-9.987358024691353
647,-9.879728395061724
648,-9.955276895943559
649,-9.870296296296292
650,-9.895703703703699
651,-9.933252204585534
652,-10.00349206349206
653,-9.934010582010579
654,-9.870518518518514
655,-9.910740740740737
656,-9.880839506172835
657,-10.029629629629625
658,-9.938857142857138
659,-9.90559788359788
660,-9.882790123456786
661,-9.92723456790123
662,-9.891407407407403
663,-9.902469135802464
664,-9.986592592592588
665,-9.907407407407403
666,-10.0156049382716
667,-9.929259259259256
668,-9.892222222222218
669,-9.904641975308637
670,-9.980370370370366
671,-9.965757575757571
672,-9.937037037037033
673,-9.810518518518514
674,-9.918518518518514
675,-9.810740740740737
676,-9.925777777777773
677,-9.901086419753081
678,-9.829629629629625
679,-9.989851851851848
680,-10.006617283950613
681,-9.907629629629625
682,-9.849037037037032
683,-9.912419753086414
684,-10.002567901234563
685,-9.947481481481477
686,-10.02275837742504
687,-9.887259259259254
688,-9.923820105820102
689,-10.011111111111106
690,-9.869012345679009
691,-9.87081481481481
692,-9.871111111111107
693,-9.892148148148145
694,-9.929481481481476
695,-9.981573192239855
696,-9.906962962962957
697,-9.876395061728392
698,-9.802617283950614
699,-9.907259259259256
700,-9.97392592592592
701,-9.988962962962958
702,-9.944888888888885
703,-9.921654320987649
704,-9.929111111111107
705,-9.9297037037037
706,-9.930074074074069
707,-9.987523809523804
708,-10.039999999999996
709,-9.937259259259255
710,-9.907259259259256
711,-9.918518518518514
712,-9.83928395061728
713,-9.842469135802464
714,-9.95444444444444
715,-9.879802469135798
716,-9.907185185185181
717,-9.860345679012342
718,-9.907185185185181
719,-9.934790123456786
720,-9.964814814814812
721,-9.93481481481481
722,-9.897185185185181
723,-9.94044444444444
724,-9.884740740740737
725,-9.92839506172839
726,-9.943259259259255
727,-9.860271604938267
728,-9.952313932980594
729,-9.857061728395058
730,-9.92454320987654
731,-9.872888888888884
732,-9.925999999999995
733,-9.847999999999995
734,-9.937037037037033
735,-9.825851851851848
736,-9.938345679012341
737,-9.924246913580243
738,-9.966148148148143
739,-9.936536155202818
740,-9.989111111111107
741,-9.88518518518518
742,-9.888592592592587
743,-9.870592592592589
744,-9.94323456790123
745,-10.009382716049378
746,-9.935012345679008
747,-9.907555555555552
748,-9.828246913580243
749,-9.919580246913576
750,-9.900172839506169
751,-9.904938271604934
752,-10.027802469135798
753,-9.902197530864193
754,-9.870592592592589
755,-9.907111111111107
756,-9.97071604938271
757,-9.941827160493823
758,-9.929777777777772
759,-9.868430335096997
760,-9.872691358024687
761,-9.926716049382712
762,-9.968691358024687
763,-9.851999999999997
764,-9.995703703703699
765,-9.931968253968249
766,-9.941037037037033
767,-9.92607407407407
768,-9.947851851851848
769,-9.867901234567897
770,-9.85281481481481
771,-9.858239858906522
772,-9.913086419753082
773,-9.941308641975304
774,-9.855333333333329
775,-9.927111111111106
776,-9.908518518518514
