,Games
2021-09-21 08:00:00,"Volleyball Cat 1
Volleyball Cat 2
Volleyball Cat 3
Badminton Cat 3
MOTG Cat 1
Mastermind Cat 3
GOG Cat 3
Darts Cat 1
DOTA Cat 1
CSGO Cat 1
Basketball Cat 1"
2021-09-21 08:15:00,"Volleyball Cat 1
Mastermind Cat 3
Sungka Cat 1
Word Factory Cat 3
Sepak Cat 1
ML Cat 1
DOTA Cat 1
CSGO Cat 1
Basketball Cat 1"
2021-09-21 08:30:00,"Badminton Cat 2
Badminton Cat 3
Dama Cat 2
MOTG Cat 1
Mastermind Cat 3
Ulti Frisbee Cat 2
ML Cat 2
ML Cat 3
DOTA Cat 1
Basketball Cat 1
Table Tennis Cat 2"
2021-09-21 08:45:00,"Volleyball Cat 1
Volleyball Cat 2
Dama Cat 2
Dama Cat 3
MOTG Cat 3
Mastermind Cat 3
GOG Cat 2
Darts Cat 1
Sepak Cat 1
ML Cat 3
DOTA Cat 1
Basketball Cat 1
Basketball Cat 2
Basketball Cat 3"
2021-09-21 09:00:00,"Dama Cat 3
MOTG Cat 2
Sungka Cat 2
GOG Cat 1
Darts Cat 1
Ulti Frisbee Cat 2
DOTA Cat 1
Basketball Cat 1
Basketball Cat 3"
2021-09-21 09:15:00,"Volleyball Cat 1
Volleyball Cat 2
Dama Cat 3
Mastermind Cat 1
Rubik's Cube Cat 1
Rubik's Cube Cat 2
Rubik's Cube Cat 3
ML Cat 1
DOTA Cat 1
CSGO Cat 1
Basketball Cat 1
Basketball Cat 2"
2021-09-21 09:30:00,"Volleyball Cat 1
Volleyball Cat 2
Badminton Cat 1
Dama Cat 1
Dama Cat 3
MOTG Cat 2
MOTG Cat 3
Speedstacks Cat 3
ML Cat 3
DOTA Cat 1
CSGO Cat 1
Basketball Cat 1
Basketball Cat 2"
2021-09-21 09:45:00,"Volleyball Cat 2
Volleyball Cat 3
Dama Cat 1
Dama Cat 3
Sungka Cat 2
Darts Cat 1
DOTA Cat 1
Basketball Cat 1
Basketball Cat 3
Table Tennis Cat 2"
2021-09-21 10:00:00,"Volleyball Cat 1
Volleyball Cat 2
Volleyball Cat 3
Word Factory Cat 1
GOG Cat 3
Sepak Cat 1
Ulti Frisbee Cat 1
CSGO Cat 1
Basketball Cat 2
Basketball Cat 3
Table Tennis Cat 3"
2021-09-21 10:15:00,"Volleyball Cat 3
Badminton Cat 3
Dama Cat 2
Mastermind Cat 1
Word Factory Cat 1
Word Factory Cat 2
Rubik's Cube Cat 2
GOG Cat 1
GOG Cat 2
Ulti Frisbee Cat 2
ML Cat 2
CSGO Cat 1
Basketball Cat 2
Basketball Cat 3
Table Tennis Cat 1
Table Tennis Cat 2"
2021-09-21 10:30:00,"Volleyball Cat 3
Badminton Cat 1
Dama Cat 2
Mastermind Cat 2
Sungka Cat 1
Word Factory Cat 3
Speedstacks Cat 1
GOG Cat 2
Ulti Frisbee Cat 1
ML Cat 3
DOTA Cat 1
CSGO Cat 1
Basketball Cat 1
Basketball Cat 3
Table Tennis Cat 1"
2021-09-21 10:45:00,"Volleyball Cat 2
Volleyball Cat 3
Badminton Cat 1
Dama Cat 2
MOTG Cat 3
Sungka Cat 1
Sungka Cat 3
Word Factory Cat 2
Speedstacks Cat 3
DOTA Cat 1
CSGO Cat 1
Basketball Cat 2"
2021-09-21 11:00:00,"Volleyball Cat 1
Volleyball Cat 3
Dama Cat 1
Dama Cat 2
Dama Cat 3
Mastermind Cat 2
Mastermind Cat 3
CSGO Cat 1
Basketball Cat 1
Basketball Cat 3
Table Tennis Cat 2"
2021-09-21 11:15:00,"Volleyball Cat 3
Badminton Cat 3
Dama Cat 2
MOTG Cat 1
Rubik's Cube Cat 1
ML Cat 2
Basketball Cat 2
Basketball Cat 3"
2021-09-21 11:30:00,"Volleyball Cat 1
Volleyball Cat 2
Badminton Cat 2
Mastermind Cat 2
Mastermind Cat 3
Sungka Cat 2
Word Factory Cat 2
Ulti Frisbee Cat 1"
